user_id,item_list
0,13219 25878 4927 9851 1447 6548 10191 15708 4518 25582
1,19089 23600 12409 20095 19709 6198 16630 3165 19480 12119
2,14353 5566 5593 14275 2824 991 482 11764 19515 7849
3,22487 10689 16086 9087 16857 15125 3942 12473 24093 7471
4,9243 13427 14715 1611 11384 4927 19704 10997 18692 14271
5,8097 16172 17819 14706 9301 8322 19152 15150 22517 7494
6,25044 24383 4824 23906 14020 5808 15176 3382 6446 24994
7,17332 13840 14682 7646 8499 4314 3850 12181 21270 19560
8,25407 2426 10594 15691 23154 13711 1583 6734 10834 6878
9,19792 25779 3699 15782 12375 9609 7836 13390 9139 23505
10,3556 12906 19792 24567 1302 13280 18751 17557 10045 660
11,3220 4661 7856 22956 16175 12133 25250 21266 8488 12951
12,19291 6235 2823 5447 2281 8593 10380 20600 1592 16212
13,20969 25407 11533 6446 9992 3382 23154 4213 10594 23430
14,18499 20644 3641 11848 18500 25407 16999 16793 681 7115
15,22817 24546 5709 4025 13810 12643 12065 3722 5360 9463
16,7913 4502 17305 19874 14158 9018 7883 14137 12268 20888
17,19089 25675 9438 16630 17723 20146 5942 7030 20095 2665
18,5032 18793 13609 12048 19190 20300 7267 23697 4936 9769
19,2426 15691 9555 23154 10834 12818 7095 10594 1583 16928
20,6893 15234 8606 14132 2835 9633 5078 5925 18021 25957
21,23778 18788 24366 16803 3875 19198 2646 4224 12344 13138
22,9487 6616 1668 20163 17899 256 11597 13494 17368 4733
23,6200 16577 16496 988 17836 11293 17143 6454 21806 25018
24,13797 19480 14291 11730 19709 14895 20108 19089 12968 9664
25,7115 12844 10640 7405 983 12385 823 290 1573 16844
26,23056 16245 10530 15463 4055 18692 5633 867 13707 21975
27,5044 8158 17820 57 15903 6760 21527 14609 5562 24355
28,6551 8742 2233 7534 23056 9220 8673 13424 22881 8678
29,14684 5078 16538 17668 25957 19874 4502 21428 8667 18512
30,8544 21552 24621 22511 9243 11384 4966 8920 3835 2996
31,2001 13226 23651 6446 23468 16793 10162 17013 22226 13593
32,1573 18574 9620 290 7115 5966 23154 22010 10640 5671
33,10269 25675 9438 12061 5942 22554 9851 23799 10786 17409
34,1959 1803 19007 3966 21624 377 4168 23324 12124 5446
35,9620 12844 23430 823 12719 9863 16844 7355 3921 11830
36,25407 2426 1583 6734 15691 16928 22848 23141 9701 16906
37,19480 3647 3620 19524 10009 10528 1639 21932 773 8538
38,1863 8560 4940 7266 21062 13628 18122 14385 1960 1151
39,23816 2220 2178 7321 21872 24122 8991 9221 4554 5497
40,22554 24075 9438 12923 8097 25407 5942 5044 20095 10834
41,6599 14023 17322 14266 17225 8544 9047 10336 14846 1682
42,24070 12182 1020 20321 20553 18512 6612 13663 18930 15169
43,23854 12696 15536 552 8256 7615 12770 170 8134 966
44,17470 23324 25209 25185 5093 1413 8475 20520 16473 11576
45,11658 19089 19525 17723 2665 7494 25873 16630 24128 16948
46,23536 6088 3983 11792 13541 4620 22359 18190 23711 15459
47,16124 4032 19326 21912 4738 6369 19281 18852 7993 16998
48,13552 16893 4781 13178 24985 5284 14867 19874 11737 13433
49,12585 25253 5787 18549 4302 9646 24746 23846 8904 24664
50,2426 9555 10594 1583 10834 12818 6734 23141 7991 13711
51,24075 25675 5942 22554 25693 7964 10269 16195 12061 21773
52,13194 24355 20199 14767 25009 11449 8268 23510 4502 7223
53,17874 11115 11134 17697 10488 21008 22126 23761 11969 1273
54,3803 25675 22554 18293 7202 15564 19401 19564 12923 9438
55,15562 2122 678 13842 14009 3058 16218 11361 10258 4064
56,3668 11987 11741 6267 5413 3348 10384 21988 2910 7203
57,11378 25656 6049 75 2390 24791 2436 3803 23424 23136
58,5930 16577 1259 306 11197 6047 12601 12943 10951 625
59,8531 11223 9005 8841 6544 23950 2846 19668 10803 20301
60,3527 13810 25458 7805 2241 19281 12483 25494 13433 13319
61,14378 10653 24747 8826 9090 6446 22023 9782 20334 8914
62,11527 10311 12759 16394 12914 19150 23895 24378 10753 12214
63,13424 13231 21051 8654 557 13502 3456 5905 2760 974
64,23741 15350 388 20458 5810 1814 17723 17821 12561 11979
65,1628 11674 16850 25013 19525 14951 8081 22140 4682 18959
66,2533 19480 19089 11091 24075 25873 12389 7650 10269 8431
67,17668 4203 9615 5966 9822 18462 18574 17451 18844 22057
68,6088 2333 18190 3983 5717 4620 16805 11792 9337 2090
69,7583 24874 12509 2317 25932 7371 13025 23774 1005 8315
70,4390 14356 10162 22121 10653 8990 3812 25407 4588 13226
71,17565 11064 5094 24070 17400 14943 18101 2269 14684 6274
72,1863 2996 4940 21552 22645 8920 21859 7266 19094 24340
73,18419 22750 4502 16394 5185 8712 343 11923 14202 15915
74,14104 1608 7152 19466 22172 8152 16481 9520 9630 23624
75,20108 8251 9339 21552 11072 8704 22511 19910 11730 7639
76,17877 15903 25407 16577 15691 2426 4257 15196 17070 23154
77,7117 23924 10448 1628 4272 471 18980 20083 25387 24075
78,20431 19114 2868 15327 6088 10530 25030 3337 11521 5717
79,10269 9438 25675 12061 5942 22554 9851 5284 10786 23799
80,21652 1449 11064 21517 1001 12393 11764 11863 24092 4093
81,24075 23799 10269 9851 22554 5942 12061 18293 17192 19393
82,24075 17024 10785 11153 5934 21092 8930 15125 7471 8311
83,2426 9555 23154 16928 10834 10594 1583 23141 13711 7727
84,20496 20148 24410 141 4620 24621 9851 13219 7639 10191
85,23774 11533 3580 25596 5952 3737 8860 2478 8984 20863
86,6446 8955 11951 12601 15161 7564 16779 13964 15196 19498
87,23468 6446 2001 2888 18798 23651 16577 21021 3812 7049
88,9851 10269 9438 8811 22554 18293 19401 23711 3803 7202
89,11785 21236 22716 8070 3701 9782 16267 7686 13514 14826
90,4620 19480 1863 14978 921 3337 12550 5717 2665 19049
91,4824 16248 24561 16976 12494 16767 9882 21871 19078 9282
92,2665 16630 20146 12409 19480 7494 19709 17723 20095 14291
93,10269 25675 9438 19152 12061 6835 19864 22554 13018 5942
94,14373 3599 11190 13030 13541 19114 10788 3983 6876 14016
95,14413 9526 8593 11339 19291 6235 5447 21264 24546 2216
96,2995 19891 8529 23331 5218 19626 18644 11848 6363 18305
97,24355 4502 12554 19874 18419 20308 17668 20553 15234 359
98,19874 24355 4502 15234 17668 20308 5581 7883 4257 19879
99,11623 14684 9135 24546 24355 7839 25209 17130 18547 4738
100,11112 24481 6329 24355 1258 13696 16218 5227 8542 13002
101,22554 16772 19468 6446 4201 7564 25675 8097 20325 2426
102,2711 25945 14096 19596 13057 19193 22484 11291 11283 8348
103,19781 867 19704 11067 17065 3348 8544 11796 11518 5717
104,19874 22653 14684 24355 10581 5581 20308 18419 14158 7883
105,9375 22750 942 18293 22554 13720 25675 23485 7202 13902
106,23299 275 22356 8645 2845 25869 8811 9851 23711 3178
107,1863 7266 8560 4940 22645 18122 21552 1947 13628 1960
108,14378 22121 18544 18317 14356 23189 3539 10537 25101 24747
109,10162 7363 484 13226 7049 2888 2679 3812 20688 14356
110,15196 5150 17546 15234 9511 17218 14554 12142 17517 20841
111,24546 24438 1205 19007 6600 6 22622 15122 2005 21248
112,5292 10269 14568 17418 429 23474 21641 13414 18679 16790
113,23723 16987 15563 10328 5574 13424 9241 24655 8558 5905
114,14100 25880 4194 7455 3442 13165 17856 18953 9125 3292
115,24075 22554 13615 13831 19792 5942 9438 12923 18293 23505
116,15903 14356 11820 15364 15196 2814 5044 6297 19602 4038
117,17803 2017 25863 2259 3073 1250 3949 18570 1392 15926
118,11527 23086 1151 10311 19150 12162 18334 12759 24378 2167
119,4502 20308 19874 13070 16116 3562 5907 17565 18419 11737
120,18987 24481 1258 24355 4502 15562 6612 18419 10996 3556
121,25675 25693 11153 24075 22554 25858 3314 5942 357 19756
122,16203 23802 22024 15739 16257 5950 25317 9175 21526 22969
123,21061 4147 15572 13887 8337 7260 681 25407 13294 3630
124,2333 22646 5717 13541 2868 2090 18190 23536 4620 20472
125,6502 17668 4257 25484 16538 4502 14684 21272 828 19627
126,19434 7702 17931 14317 2895 3702 16954 9931 7552 13664
127,16570 18211 10085 10859 132 8647 5256 17629 24387 677
128,9851 10269 25675 10786 9438 1863 13118 8811 15034 18293
129,14045 861 18708 25693 4619 10994 22293 15270 604 14420
130,24546 5076 25526 3463 12087 21248 8805 9463 11702 4805
131,5713 24585 3916 22890 4707 15723 10507 11992 14772 10535
132,16187 12597 21927 8712 8863 9008 11701 2412 341 6291
133,22864 11536 14571 21631 14682 6770 12435 6194 9722 1289
134,3497 21042 22121 6446 13294 14328 16577 12830 11295 22731
135,16447 4302 25440 9646 6579 23333 20220 23846 24746 11105
136,13433 11550 18288 24909 3911 19480 25909 2241 9529 11226
137,16726 3579 13373 4184 23405 21409 15733 2798 20963 25709
138,22754 21095 10980 14343 18100 999 15592 24015 7885 11987
139,4463 7012 22102 10391 9347 13508 21064 2491 18837 8472
140,12887 6 13433 8556 8626 15076 14654 8733 7124 20013
141,5078 17637 14684 21857 20308 13552 2304 11700 17565 14386
142,19480 10269 9851 20146 25675 20095 16630 13118 13433 4502
143,11584 4023 1975 177 2939 19855 1478 14889 7668 20602
144,19089 7494 19631 12409 2854 2665 16630 17723 19709 20095
145,9591 22845 4100 18122 25682 18119 9345 25675 4966 18448
146,24075 25675 5942 22554 13118 12061 10786 15564 8538 19089
147,3497 14141 5930 588 19769 5469 21061 16880 20422 1064
148,25407 23154 2426 10594 1583 7333 9322 9319 10834 459
149,10269 21653 21552 10786 12061 23666 11384 12734 25675 19480
150,17723 6198 19089 23600 20095 20146 24128 7494 23189 16630
151,19480 14978 11687 525 19089 23481 6546 11284 8158 17760
152,12214 1830 14481 3261 21619 2061 16669 1175 8241 18263
153,15182 16263 9118 22684 9195 18412 13609 3039 20210 19853
154,17320 19961 9859 9194 24098 24660 1225 9140 22554 7728
155,13014 4620 24075 13118 14857 24446 24694 7274 20496 5717
156,25407 10594 23154 15691 3230 18452 9555 1583 2426 10834
157,24687 11701 11499 7585 9475 11285 6076 21629 18317 68
158,5150 15196 17546 17517 9511 15234 3261 7144 19973 18367
159,22151 7030 22885 20919 23844 16345 16301 13954 3133 16871
160,12601 6047 3913 21355 22731 11354 4871 306 11197 20969
161,17488 3827 414 16978 3338 14755 20779 12574 9758 18583
162,18293 22128 22750 3473 21552 12875 15915 25046 21342 20363
163,5907 15982 19874 19970 14684 4502 1714 16116 11832 18419
