0,4927 9851 15830 1447 20761 15429 6961 445 11765 12061
1,19089 23600 20095 12409 19709 16630 19480 3165 8894 17257
2,575 2824 17336 9549 20323 17339 14792 5396 16249 17959
3,22487 12473 24075 3942 20905 5412 24093 17820 18569 14446
4,9243 10997 4927 14271 10979 1611 18632 9295 433 18692
5,8097 7013 8322 14706 1240 16394 9017 2459 5078 16172
6,25044 23906 24383 4824 17252 14356 10745 1282 1288 7049
7,4209 1467 1358 14266 17305 23568 9018 23267 23155 11159
8,25407 6734 23154 2426 1583 10594 13711 6878 15691 7727
9,10132 8877 9609 19792 6076 14038 5416 4437 24279 18814
10,3556 11361 12906 19792 23361 22923 660 23026 13280 21278
11,22956 7856 3220 12788 8296 16099 21630 1817 1517 20078
12,2823 1592 2016 2281 20211 24546 11764 10380 19007 9526
13,20969 25407 11533 23154 6446 9992 11924 19468 16535 4213
14,18499 18500 25407 20918 16999 244 22617 11848 7115 681
15,17130 25766 8805 12643 24546 7839 12903 9520 13433 17323
16,7913 4502 17305 14158 19874 14137 8400 17514 21416 886
17,20404 18687 17257 7030 24958 8979 681 3497 23844 12407
18,5032 18793 12048 7267 20300 15778 9769 22548 22356 9662
19,2426 15691 9555 23154 10834 12818 7095 10594 1583 6734
20,15234 18419 13303 23465 15398 13616 9018 15778 25 5925
21,3875 16803 23778 18788 18901 13138 6298 2646 21139 24366
22,6616 11597 10005 17899 3689 10235 23206 7331 16347 1418
23,16496 988 17836 11293 6200 16577 23562 6454 14835 15457
24,19480 14291 11730 20108 19709 19089 14895 8704 19910 4209
25,7115 983 12844 823 18574 9446 10640 7494 1573 6878
26,23056 18692 4927 13707 10530 18293 15518 13730 1825 867
27,5044 8158 57 14609 5562 17820 15903 6208 8064 24484
28,6551 23056 13424 18998 17043 23127 19898 21327 1393 23020
29,21428 25957 5078 5765 18512 15562 25013 14684 11855 5193
30,8544 21552 24621 11384 5717 8920 9243 17850 25662 13074
31,2001 13226 23651 16793 23468 13593 6446 13081 17013 10162
32,1573 18574 23154 9620 6878 5671 7115 10640 20087 22010
33,10269 9438 25675 5942 12061 23799 22554 1888 14313 10786
34,1803 1959 21677 14413 23324 9520 22997 14104 17400 15354
35,9620 23430 12719 12844 823 7355 9863 13078 1895 18882
36,2426 25407 1583 22848 9701 6734 15691 23141 10981 10908
37,10528 19480 5562 18456 21660 8439 19922 7150 10009 525
38,1863 8560 4940 13628 21062 13541 14385 19822 1947 5965
39,7321 2178 6139 13934 16648 16871 20820 2220 5497 15187
40,12923 10834 5942 22554 22445 8097 8990 20095 3551 20146
41,8544 14023 24410 14266 19189 1865 17322 21526 9657 17305
42,6612 13663 20553 24209 22500 11091 10073 2761 13870 20544
43,3469 610 11987 780 13715 13233 5466 3616 5567 7507
44,17470 5093 8475 9438 25209 1205 3214 24839 12230 9520
45,19089 11658 2665 17723 7494 19525 18930 8431 24128 12409
46,21975 22588 9243 11067 22359 22730 23056 13707 11384 19114
47,18852 21912 4032 4738 19281 6369 19326 1700 23975 7993
48,24985 13552 5284 13433 4781 19874 10626 20368 12268 21071
49,5787 12585 25253 18549 25974 8660 8651 8652 8653 8654
50,2426 9555 10594 1583 12818 10834 23141 6734 13711 18392
51,7964 16195 5543 10844 4512 1888 19308 14731 1141 929
52,20553 24355 1633 8268 2665 14279 4502 11114 11459 19826
53,14354 18499 14396 5784 8529 5763 12730 23816 13294 23398
54,25675 3803 7202 18293 15564 22554 9438 20439 24075 14595
55,15562 3058 9243 10601 10910 16218 7870 9511 13081 17801
56,12742 20401 3348 18351 10384 13764 21717 4779 11987 11741
57,2390 25656 24791 11378 75 6049 2436 12421 12922 16413
58,16577 11197 5930 625 12601 12943 306 25133 22731 23996
59,8841 8531 10803 19668 9005 11223 6544 23042 21793 12026
60,3527 762 6096 19007 17759 12454 13810 20212 19281 2237
61,8826 6446 14378 20571 24948 9364 870 4390 16195 22286
62,11527 16394 8675 3775 10311 19948 10753 12321 12759 7946
63,13231 3456 13424 14488 8709 7940 21051 16941 13502 10931
64,23741 17723 12104 20458 12347 1628 2427 12886 14401 339
65,16850 25013 19525 3840 25255 2182 11674 11900 19584 7494
66,19480 24075 19089 7494 10269 2720 9851 2533 7650 17760
67,9822 5966 18574 91 18462 4203 19796 13018 9615 22057
68,18190 6088 2333 23711 4620 3983 5717 11792 19114 9029
69,2317 25932 7583 15124 10919 5952 4541 3264 23620 6450
70,4390 14356 10162 22121 3812 8990 10653 25407 12254 16793
71,14684 1621 17668 20857 19007 1959 20308 18778 17400 6443
72,1863 2996 19094 24340 22645 4940 9337 15906 21859 8920
73,18419 4502 10073 17070 22750 25586 6358 19874 21857 9683
74,14104 24546 22622 11576 11710 644 3722 13552 11702 507
75,8704 20108 7639 11072 22511 12968 1863 19910 9339 21552
76,17877 15903 15196 8097 16577 25407 11748 25585 23895 7583
77,25387 7117 15379 2972 18980 7540 15377 24420 12187 11323
78,6088 20431 2868 19114 19418 15327 6588 16767 21552 23481
79,10269 9438 25675 12061 22554 5942 23799 5284 9851 13433
80,4257 16659 7883 24092 12035 25573 6699 24230 17480 6990
81,25068 16614 23164 17844 18126 19439 12789 23156 23799 17192
82,24075 10785 19502 1535 24472 22524 14915 8311 18930 23427
83,9555 2426 23154 16928 23141 10594 1583 10834 13711 5044
84,20148 20496 24410 4209 141 22511 4620 25693 9851 10191
85,3580 11533 25596 5952 4878 4366 8984 8860 19875 3737
86,6446 8955 11951 7564 16779 15161 4588 19498 12601 16712
87,2001 6446 23468 13081 16793 21021 23651 2888 15204 19340
88,9851 8811 18293 9438 19401 10269 7202 16321 10363 7964
89,11785 14193 8164 8037 7816 9496 4683 301 14835 17866
90,19480 4620 5487 14978 3337 10979 19049 10887 25226 921
91,25044 4824 4649 22592 24383 18949 15468 24361 11848 8529
92,16630 19480 12409 20146 7494 19709 20095 23481 14291 2665
93,13018 11945 17923 11133 16223 6835 19864 19890 497 24380
94,14373 10788 13030 20750 11451 5717 19180 13541 24561 21854
95,14413 9526 8593 2281 24546 2216 20308 2823 20211 19061
96,8529 5218 17920 17717 3812 19626 2995 24075 23331 2715
97,12554 4502 24355 19874 18419 15234 19429 359 5581 20553
98,19874 4502 24355 15234 7883 17668 20308 4257 20553 5581
99,11623 19007 14684 7839 24355 19281 5915 18512 17889 16981
100,24481 4766 20290 24355 5464 19839 24075 18886 6760 1258
101,19468 16772 2426 4878 11649 9437 1511 7564 12466 25631
102,13057 22484 19596 20695 24355 19495 16395 6208 15152 24615
103,19781 867 8544 5717 3348 11796 19704 11518 21552 17065
104,19874 14684 18419 23534 7883 11550 20308 20553 14137 14158
105,22750 17858 23485 22554 19620 3267 21615 5669 25675 23424
106,22356 3037 23299 275 4254 9851 2333 16271 25868 23711
107,1863 8560 22645 1947 18122 4940 11549 13541 21552 1960
108,22121 18544 18317 10537 24747 23189 25101 22335 173 3539
109,484 13226 7363 20688 10162 16793 970 19194 12254 7728
110,15196 5150 17546 15234 9511 17517 19973 15642 12142 7568
111,1205 24546 2005 5589 19007 17420 11931 2237 11702 12087
112,10269 14330 16191 20320 2526 17418 25950 20587 598 16790
113,23723 15563 10328 16987 5574 9241 24655 13424 3550 1928
114,14100 22040 11260 2426 23033 10151 9125 17169 18931 15899
115,12923 13831 19792 3551 13615 25779 10189 7944 24481 23481
116,11820 15903 14356 3341 5044 25365 13688 24274 19026 16045
117,8773 25863 17803 25331 15821 1250 11866 22321 24211 3470
118,23086 12162 25484 11527 2835 19823 10311 4502 16246 15183
119,4502 19874 341 14104 8712 20308 10073 1863 19062 5868
120,18987 9934 24481 3556 1258 4502 19281 19480 24355 15562
121,4668 12530 19756 3314 24484 25675 17820 15562 11397 13441
122,14626 24577 18656 17130 5178 7494 8808 23004 7113 7098
123,21061 4147 13887 8337 13294 681 1869 19769 3630 1846
124,2333 13541 5717 2868 1863 18190 22646 23536 23711 4620
125,6502 18512 9516 23221 21948 25 828 7753 16171 1399
126,1652 8459 22558 25255 20411 5963 17516 22825 5786 25013
127,22881 10085 132 24075 18211 20518 19239 2448 10775 16444
128,9851 8811 15034 10786 10269 1863 25675 18293 24472 13118
129,18708 861 14045 25693 13099 2165 4884 19480 24128 21437
130,24546 8805 16124 7839 25766 18343 7818 12230 14104 16011
