user_id,item_list
0,7908 22445 24573 1447 13884 22171 3301 14168 444 25878
1,19089 23600 12409 20095 16630 19709 3165 19480 8894 6198
2,14353 5593 16333 8877 1565 22865 18003 4401 2824 21613
3,22487 12473 519 24093 5412 3942 20905 18569 17820 16086
4,9243 16767 1611 973 9023 9295 5672 18692 14271 4927
5,8097 16172 17819 14706 8322 16394 4257 12214 21373 7013
6,25044 24383 4824 23906 11295 24801 10745 10355 25930 19445
7,17332 8104 4314 13840 4209 7238 19189 7646 11300 14682
8,25407 2426 6734 10594 23154 1583 15691 6878 13711 10834
9,19792 9609 25779 10132 13390 15782 3699 5741 16375 811
10,3556 12906 11361 22923 19792 17557 20168 660 23361 13775
11,3220 22956 7856 4661 16175 12951 15586 11726 9690 12788
12,2823 2281 1592 20211 24546 10380 6235 19291 9054 2016
13,20969 25407 11533 23154 9992 6446 11924 19468 4213 12601
14,18499 20644 3641 11848 18500 16999 18404 555 23426 20918
15,24546 25766 12643 5076 22817 17130 8805 7839 9520 11702
16,7913 18481 17305 4502 15015 6261 14158 22480 6719 21416
17,19089 17723 20146 9438 8894 7030 12409 16630 2665 25675
18,5032 18793 12048 7267 20300 15778 13609 9769 18649 7448
19,2426 15691 9555 23154 10834 10594 12818 1583 6734 7095
20,15234 5078 6893 5925 8606 23465 18021 25957 13616 14132
21,23778 3875 18788 13138 16803 18901 24366 2646 4224 19198
22,17899 6616 11597 1668 10005 23206 7331 17368 9487 14583
23,6200 988 16496 17836 11293 16577 6454 23562 14835 17143
24,13797 19480 14291 11730 9664 20108 14895 19709 9339 8704
25,7115 983 12844 10640 823 18574 1573 7405 12385 9446
26,23056 13707 21975 18692 867 10530 19781 477 11792 12983
27,5044 57 17820 8158 24484 3572 5562 16188 14609 8064
28,13424 6551 2233 3123 19424 23020 24479 23835 4159 13307
29,14684 5078 25957 13894 21428 19874 16688 5765 16538 8667
30,8544 21552 24621 11384 9243 8920 3835 4966 1863 20109
31,2001 13226 23651 16793 13593 23468 6446 13081 10162 19340
32,1573 9620 18574 290 10640 7115 983 23154 5966 2643
33,10269 9438 25675 12061 5942 22554 17409 23799 10786 9851
34,1959 1803 23324 9520 7581 4168 19007 3966 24546 21677
35,9620 14826 15325 23430 6709 823 24445 12844 8914 9352
36,25407 2426 1583 15691 16928 6734 22848 9701 23141 16906
37,3620 1008 19480 10528 1639 3647 24075 10009 9187 8439
38,1863 8560 21062 4940 13628 7266 13541 19822 21552 14385
39,2178 7321 2220 1114 20341 21872 6139 20820 16648 16871
40,24075 22554 9438 8097 25407 10834 12923 5044 18293 10035
41,14023 8544 17322 19189 24410 14266 6599 17225 8524 14405
42,20553 6612 24070 13663 12182 20321 1020 7494 20544 18512
43,12696 8256 23854 8818 966 15536 20323 552 2900 4720
44,17470 5093 8475 23324 9438 25209 11576 1205 25185 3214
45,19089 19487 11658 7494 24128 19525 17723 2665 16948 6827
46,23536 11792 6088 13541 19114 18190 23711 22359 4620 15459
47,18852 4032 21912 4738 19326 16124 6369 7993 6954 1700
48,13552 5284 24985 4781 13433 14684 13178 19874 303 4115
49,12585 25253 5787 18549 4302 1738 23846 25494 15668 9646
50,2426 9555 10594 1583 10834 12818 6734 7991 23141 13711
51,24075 25675 21773 7494 942 5942 561 7964 12061 8538
52,13194 11449 6253 25009 20626 22056 20199 20375 2919 24355
53,11115 17874 17697 14396 11134 21008 10488 8529 22126 16790
54,25675 3803 7202 18293 15564 19401 22554 9438 19564 12061
55,15562 16197 3058 10910 9243 16218 10601 18131 18124 11361
56,11741 3348 10384 11987 20401 2910 13764 12742 4638 3668
57,11378 25656 2390 75 24791 6049 2436 636 10562 12421
58,5930 16577 11197 625 12943 306 11705 12601 1259 6047
59,8841 8531 9005 11223 23950 19668 6544 10803 23042 12026
60,3527 6096 13810 11774 23975 175 23324 762 2237 9379
61,8826 6446 14378 8914 17346 22023 24948 5663 10653 1282
62,11527 12759 16394 10311 12214 12914 19150 19948 3775 8097
63,13424 13231 3456 13502 8654 14488 21051 557 5905 974
64,23741 20458 8212 17723 388 6865 24300 24285 5491 12347
65,11674 16850 14951 24628 19525 11979 18959 23316 10538 2182
66,24075 2533 19480 19089 9851 7494 8431 2097 10269 7650
67,19874 9615 9822 22057 19796 18574 5966 4203 18462 7832
68,18190 2333 6088 5717 23711 4620 11792 3983 19114 9284
69,13928 25932 2317 7583 5189 4017 10417 2546 14030 893
70,4390 22121 8990 14356 10162 3812 10653 25407 12254 16793
71,17565 11064 14684 1621 5094 17668 9526 1098 17400 24771
72,1863 2996 22645 21552 24340 19094 8920 13541 4940 24075
73,4502 22750 22128 18419 15915 10073 5185 7232 8479 19874
74,14104 1608 9520 13552 8152 24546 22622 3834 9630 20837
75,20108 8251 9339 19910 11072 8704 15490 11730 7639 22511
76,17877 25407 15903 2426 15196 15691 9555 16577 10834 5581
77,7117 1628 18980 6865 25387 4081 1720 6329 5491 15377
78,2868 20431 15327 6088 5717 9288 19114 18190 6588 23962
79,10269 9438 25675 5284 12061 22554 5942 13433 24985 9851
80,21652 12393 21517 4257 11064 1449 1001 11863 23921 5294
81,24075 12061 9851 20532 25068 10786 5717 22617 5942 22554
82,24075 10785 19502 21092 5412 8311 12110 23427 7471 24472
83,2426 9555 23154 10594 16928 10834 1583 23141 13711 7727
84,20496 20148 24410 4620 9851 10191 13219 23711 7639 141
85,23774 11533 3580 5952 25596 2478 4366 8860 3737 13503
86,6446 8955 11951 15161 16779 19498 12601 20500 7564 4588
87,2001 23468 6446 2888 18798 14356 7049 23651 16577 3812
88,9851 9438 10269 8811 22554 18293 19401 23711 7202 3803
89,11785 8070 21236 3701 14826 23244 6709 11830 7686 6619
