user_id,item_list
0,22171 17300 22445 7908 1447 9851 4927 14674 24573 14168
1,19089 23600 12409 20095 16630 19709 19480 8894 3165 8431
2,5593 14353 2824 11548 4842 17336 16333 575 20323 9549
3,22487 12473 24093 5412 20905 17820 18569 24075 3942 6649
4,9243 9295 1611 16767 14271 10997 4927 19843 18692 10979
5,8097 4257 12214 17819 14706 16172 16394 19874 8322 7494
6,25044 24383 4824 23906 11295 10745 1282 17252 14354 20480
7,4209 8104 19189 1358 4314 13840 22862 17322 341 23155
8,25407 2426 6734 23154 1583 10594 6878 15691 10834 13711
9,19792 10132 9609 8877 25779 13390 16375 20666 14038 5416
10,3556 12906 19792 11361 22923 660 23361 23026 17557 20168
11,22956 7856 3220 12788 8296 11726 12951 9690 15586 21266
12,2823 1592 2281 20211 24546 10380 8593 9526 19007 19291
13,20969 25407 11533 9992 11924 1770 6446 19468 23154 2236
14,18499 20644 11848 18404 18500 3641 16999 25407 20918 18859
15,24546 25766 7839 17130 12643 13433 12230 8805 5076 11702
16,7913 17305 4502 14158 18481 886 21416 12684 8400 17514
17,19089 17723 20146 9438 2665 8894 5942 16630 19480 23600
18,5032 18793 7267 12048 20300 15778 9769 22385 4936 22548
19,2426 15691 23154 9555 10834 6734 10594 1583 7095 12818
20,5078 15234 25957 23465 13616 6893 15398 5925 2835 8606
21,3875 23778 18788 13138 18901 16803 24366 2646 6298 4956
22,6616 11597 17899 10005 23206 1668 7331 3689 10235 17368
23,16496 6200 988 17836 11293 16577 6454 25675 23562 14835
24,13797 19480 14291 9664 11730 20108 19709 19910 8704 525
25,7115 983 12844 10640 823 18574 9446 25674 1573 2643
26,23056 18692 13707 19781 21975 867 11792 4927 12762 10530
27,5044 17820 57 24484 8158 3572 24355 8064 5562 16188
28,13424 6551 2233 23020 4411 615 1393 21327 23127 3123
29,14684 5078 25957 19874 21428 16688 8667 13894 5765 5193
30,8544 21552 24621 11384 8920 9243 24410 22511 4966 14023
31,2001 13226 23651 16793 13593 23468 6446 13081 11121 17013
32,1573 9620 10640 290 7115 18574 983 23154 2643 5966
33,10269 25675 9438 12061 5942 22554 23799 10786 7763 17409
34,1959 23324 1803 9520 19007 24546 3966 21677 4738 5446
35,9620 14826 15325 23430 823 6709 24948 11830 24445 8914
36,25407 2426 1583 15691 6734 16928 22848 9701 23141 16906
37,10528 19480 24075 8439 10009 1639 3620 1008 18512 2932
38,1863 8560 4940 21062 18122 13628 21552 1960 19822 1947
39,2178 7321 2220 21872 6139 20820 16648 16871 5497 15187
40,24075 22554 9438 18293 12923 25407 10834 8097 5942 10269
41,8544 14023 7883 19189 17322 24410 8524 1816 6599 20496
42,20553 6612 13663 24070 7494 20544 15169 18512 13870 16904
43,3469 610 12696 11987 2900 8256 23854 8818 21153 780
44,17470 5093 8475 23324 9438 25209 24839 11576 1205 3214
45,19089 11658 17723 24128 7494 2665 19525 19487 23244 8431
46,23536 19114 11792 13541 6088 23711 18190 15459 4620 22359
47,18852 21912 4032 4738 19326 16124 6369 7993 1700 19281
48,13552 5284 24985 14684 13433 19874 4781 11737 24355 10626
49,12585 25253 5787 18549 1738 4302 23846 24746 9646 18540
50,2426 9555 10594 10834 1583 12818 6734 23141 7991 5044
51,24075 25675 12061 5942 942 7964 5543 561 16195 7494
52,13194 20375 11449 2919 25009 22056 2072 8268 4502 24355
53,8529 14396 11115 14354 16758 18499 17697 4147 21008 23398
54,25675 3803 7202 18293 9438 19401 15564 22554 12061 10786
55,15562 16197 3058 16218 10910 10601 9243 11361 4809 13081
56,3348 13764 20401 12742 11741 10384 11987 4779 20933 4638
57,11378 25656 24791 75 2390 6049 2436 12421 12922 16413
58,5930 16577 11197 625 12943 306 12601 17994 22731 6047
59,8841 8531 9005 11223 19668 10803 23950 6544 23042 12026
60,3527 6096 24546 762 175 13810 2237 12087 19007 23975
61,8826 6446 14378 24948 17346 4390 7115 1282 18499 23682
62,16394 8097 12214 11527 12759 5952 12914 8675 24577 10311
63,13424 13231 3456 14488 13502 8654 8709 21051 557 5905
64,23741 17723 20458 6865 24300 12347 388 2427 12886 11979
65,16850 14951 19525 25013 11674 2182 25255 11900 7494 11979
66,24075 19480 2533 19089 2720 9851 7494 7650 8431 2097
67,19874 9615 22057 19796 9822 5966 18574 17668 4203 18462
68,2333 18190 6088 5717 23711 4620 11792 19114 3983 9029
69,7583 13928 25932 2317 4017 5952 4541 15124 10919 5189
70,4390 22121 14356 10162 10653 8990 12254 16793 3812 13226
71,17565 14684 1621 17668 11064 17400 20857 1959 19007 18778
72,1863 2996 22645 19094 21552 24340 4940 13541 8920 15906
73,18419 4502 22128 22750 15915 19874 25046 10073 16394 5185
74,14104 24546 13552 9520 19007 22622 11623 8805 23285 21505
75,20108 9339 19910 8251 7639 11072 22511 21552 23481 11730
76,15903 17877 25407 15196 2426 16577 9555 4257 15691 17070
77,7117 25387 7494 15377 18980 6865 15379 20146 1628 21433
78,2868 15327 6088 20431 9288 19114 6588 644 19418 5717
79,10269 9438 25675 5284 13433 24985 22554 5942 341 12061
80,21652 4257 21517 1001 11863 10698 24092 189 4093 12393
81,24075 9851 12061 5942 25068 22617 23799 10786 19393 6254
82,24075 10785 19502 8311 24093 8304 24472 24484 12110 1535
83,2426 9555 23154 10594 10834 1583 16928 23141 13711 6734
84,20496 20148 4620 24410 9851 10191 7639 10009 4209 141
85,23774 11533 3580 5952 25596 2478 8860 15169 3737 13503
86,6446 8955 11951 15161 16779 19498 11924 4588 14776 7564
87,2001 6446 23468 16577 14356 5044 3812 18798 2888 23651
88,9851 9438 10269 8811 22554 18293 19401 7202 3803 23711
89,11785 8070 21236 3701 14826 6709 11830 10590 7686 6619
90,19480 4620 19089 14978 5717 13797 921 19049 13764 2665
91,11848 8529 18949 25044 16758 24383 13020 23398 4824 3175
92,12409 16630 19480 2665 20146 7494 19709 17723 20095 23481
93,10269 4147 9438 17923 13294 13018 3744 11133 7550 25675
94,13030 14373 13541 10788 3599 23127 24561 19180 20750 21854
95,14413 9526 8593 2216 24546 2281 21264 11339 5447 20211
96,8529 11848 5218 19626 12719 681 20281 19468 2995 3812
97,12554 4502 19874 24355 20308 18419 19429 20553 359 25809
98,19874 24355 4502 17668 20308 15234 7883 5581 4257 20553
99,19007 11623 7839 14684 24546 24355 20308 1745 9135 25209
100,24355 24481 1258 6329 4766 15207 512 3877 13696 16241
101,8097 21297 11649 16772 19468 2426 22554 25675 20325 12466
102,13057 22484 19596 22357 19495 15152 24615 16395 20695 6952
103,19781 867 19704 8544 11796 11518 9243 5717 3348 5746
104,19874 14684 22653 24355 20308 20553 7883 10418 10581 5581
105,22750 942 18293 9375 25675 19620 22554 17858 15790 23424
106,275 22356 13764 3668 18893 23299 8811 10786 23711 4779
107,1863 8560 22645 18122 4940 1947 11549 7266 21552 10269
108,22121 18544 18317 24747 19089 14356 10537 23189 25101 22629
109,484 10162 13226 7363 20688 7049 15691 16793 3812 14356
110,5150 17546 15196 12142 15234 17517 9511 20841 17218 14554
111,24546 7839 19007 1205 2005 11931 21505 5589 3527 12230
112,10269 14330 17418 16790 10028 23352 2526 20587 598 25950
113,23723 16987 15563 5574 10328 13424 9241 24655 12158 8558
114,14100 4194 3442 11260 16224 9125 3292 17317 22040 2426
115,24075 22554 9438 13615 19792 13831 18293 25779 12923 10269
116,5044 11820 15903 15196 14356 7313 24577 964 13118 15691
117,25863 1250 17803 8773 25331 15821 2017 3073 24972 2259
118,23086 12162 11527 10311 19823 25484 8675 25834 20508 19150
119,4502 19874 20308 14684 18419 14104 10418 1714 15124 341
120,1258 24481 10996 24355 15207 1185 24014 16241 2040 18987
121,25675 12851 25693 18995 25858 5942 19756 18576 12530 24075
122,16203 14626 15739 22024 11737 23004 16257 5178 8808 1816
123,21061 4147 1869 13887 19769 8337 25407 13294 7550 681
124,2333 22646 13541 23536 5717 18190 1863 2868 2090 23711
125,4257 6502 828 17668 7753 25 4502 23221 21948 9516
126,21011 21433 8587 2581 22140 14437 14951 3024 7552 21039
127,18211 10085 16570 132 22881 20518 7926 18329 23531 6728
128,9851 25675 10269 10786 1863 9438 8811 15034 13118 18293
129,18708 14045 861 25693 18574 9315 1573 25741 24072 5068
130,24546 8805 12230 25766 7839 3527 16124 21616 25526 175
131,25138 22548 5713 3037 14772 14385 21552 1050 9436 24471
132,341 11701 12597 7109 1816 20719 21567 7030 23404 8712
133,22862 11159 23155 21631 6770 22965 11536 5415 14266 489
134,21042 16577 3497 23651 14328 18419 22121 13294 5930 22731
135,16447 25440 24746 23333 72 14302 9529 18288 5889 24839
136,11550 18288 13433 24909 8660 24546 22429 19281 25526 175
137,16726 3579 20963 15733 23405 13373 7053 8339 12953 7016
138,1028 5489 15592 22523 7885 21095 5593 5487 19049 14343
139,7012 9347 10391 4463 21064 2426 5469 5044 2491 22102
140,13433 21153 9489 158 9940 12455 10099 17180 24546 3716
141,5078 14684 17637 20308 24355 21857 6652 13552 7839 12230
142,19480 20146 9851 10269 23600 16630 25675 13118 20095 24355
143,11584 2939 177 11814 681 1478 8334 9708 15187 16753
144,19089 12409 7494 17723 24128 16630 2665 19709 14684 20146
