user_id,item_list
0,7908 22445 24573 22171 13884 1447 14168 17300 3301 444
1,19089 23600 20095 12409 16630 19709 3165 6198 19480 8894
2,14353 5593 16333 8877 1565 22865 18003 4401 21613 2824
3,22487 12473 519 3942 24093 5412 20905 24075 18569 17820
4,9243 16767 9295 973 5672 1611 9023 14271 10997 13864
5,8097 16172 17819 14706 16394 8322 4257 21373 19874 12214
6,25044 24383 4824 23906 11295 24801 10745 25930 1282 10355
7,8104 17332 4314 13840 4209 7238 19189 7646 11300 14682
8,25407 2426 6734 10594 23154 6878 13711 1583 15691 14059
9,19792 9609 10132 25779 13390 15782 5741 3699 16375 811
10,3556 12906 11361 22923 19792 17557 660 20168 23361 13775
11,3220 22956 7856 4661 16175 12951 11726 15586 9690 12788
12,2823 2281 1592 20211 24546 9054 19291 10380 6235 2016
13,20969 25407 11533 9992 23154 11924 6446 19468 4213 16535
14,18499 20644 3641 16999 18500 11848 18404 555 23426 20918
15,24546 25766 5076 12643 22817 8805 7839 11702 17130 9520
16,7913 18481 17305 4502 15015 6261 21416 886 14158 17514
17,19089 17723 20146 7030 9438 2665 8894 12409 20404 16630
18,5032 18793 7267 12048 20300 15778 13609 9769 18649 7448
19,2426 15691 9555 23154 10834 10594 12818 6734 1583 7095
20,15234 5078 6893 5925 8606 23465 18021 25957 13616 14132
21,23778 3875 18788 13138 16803 18901 24366 2646 4224 4956
22,17899 6616 11597 1668 10005 23206 7331 17368 9487 14583
23,6200 988 16496 17836 11293 16577 6454 23562 14835 17143
24,13797 19480 14291 11730 9664 20108 14895 19709 9339 525
25,7115 983 12844 10640 18574 823 1573 12385 9446 7405
26,23056 13707 18692 21975 867 10530 12983 19781 11792 5717
27,5044 57 17820 24484 8158 16188 3572 5562 14609 8064
28,13424 6551 2233 3123 23020 19424 24479 23835 4159 4411
29,14684 5078 13894 25957 16688 21428 5765 19874 8667 16538
30,8544 21552 24621 11384 9243 8920 4966 3835 14023 24410
31,2001 13226 23651 16793 13593 23468 6446 13081 17013 10162
32,1573 9620 18574 290 10640 7115 983 23154 5966 2643
33,10269 9438 25675 12061 5942 22554 17409 23799 10786 9851
34,1959 23324 1803 9520 7581 4168 19007 3966 11770 24546
35,9620 14826 15325 23430 6709 24445 8914 9352 8070 22023
36,2426 25407 1583 15691 16928 6734 22848 9701 23141 16906
37,3620 1008 10528 19480 1639 24075 3647 10009 8439 9187
38,1863 8560 21062 4940 7266 13628 13541 21552 19822 18122
39,2178 7321 2220 1114 21872 6139 20341 16648 20820 16871
40,24075 22554 9438 18293 12923 10834 10035 25407 8097 5942
41,14023 8544 17322 19189 24410 14266 6599 1816 17225 14405
42,20553 24070 6612 12182 20321 13663 1020 20544 18512 7494
43,12696 8256 23854 8818 966 15536 20323 552 2900 4720
44,17470 5093 8475 9438 23324 25209 11576 25185 1205 3214
45,19089 19487 7494 24128 11658 2665 17723 19525 16948 6827
46,23536 11792 22359 6088 19114 13541 23711 15459 10450 18190
47,18852 4032 21912 4738 19326 16124 6369 7993 6954 1700
48,13552 5284 24985 4781 13433 14684 13178 19874 4115 303
49,12585 25253 5787 18549 4302 1738 23846 25494 15668 9646
50,2426 9555 10594 10834 1583 12818 7991 6734 23141 13711
51,24075 25675 21773 942 7494 10848 20022 10325 8538 5543
52,13194 11449 6253 25009 20626 22056 20375 20199 2919 23510
53,11115 17874 17697 14396 21008 11134 10488 8529 16790 22126
54,25675 3803 7202 18293 22554 19401 15564 9438 12061 19564
55,15562 16197 3058 16218 10910 10601 9243 18131 18124 11361
56,11741 3348 11987 10384 20401 13764 2910 4638 3668 12742
57,11378 25656 2390 75 24791 6049 2436 636 12421 10562
58,5930 16577 11197 625 12943 306 11705 1259 6047 17994
59,8841 8531 9005 11223 23950 19668 6544 10803 23042 12026
60,3527 6096 23975 11774 23324 13810 9379 175 24546 25458
61,8826 14378 6446 8914 17346 22023 24948 5663 10653 1282
62,11527 12759 16394 10311 12214 12914 19150 8097 19948 3775
63,13424 13231 3456 13502 8654 14488 21051 557 5905 974
64,23741 20458 17723 8212 388 6865 17951 12104 5491 15350
65,11674 14951 16850 11979 24628 19525 23316 18959 10538 2182
66,24075 19480 2533 9851 19089 2097 7494 8431 7650 25873
67,19874 9615 22057 19796 9822 4203 18574 5966 7832 18462
68,18190 6088 2333 5717 23711 4620 3983 11792 19114 9284
69,13928 25932 2317 4017 5189 7583 10417 893 14030 2546
70,4390 22121 8990 14356 10162 10653 3812 12254 25407 16793
71,17565 11064 14684 1621 17668 5094 9526 1098 24771 17400
72,1863 2996 22645 24340 19094 4940 8920 21552 13541 7266
73,22750 4502 22128 18419 15915 5185 10073 7232 8479 6294
74,14104 1608 9520 13552 24546 8152 22622 3834 9630 20837
75,20108 8251 9339 19910 11072 11730 7639 15490 8704 17101
76,17877 15903 25407 15196 2426 15691 9555 16577 5581 25585
77,7117 1628 6865 18980 25387 6329 4081 1720 5491 21433
78,2868 20431 6088 15327 9288 5717 23962 16361 19020 19114
79,10269 9438 25675 5284 12061 22554 13433 24985 5942 341
80,21652 12393 21517 4257 11064 1449 1001 11863 23921 5294
81,24075 20532 9851 12061 25068 22617 17192 18719 19393 18122
82,24075 10785 19502 5412 21092 8311 12110 24472 23427 7471
83,2426 9555 23154 10594 16928 10834 1583 23141 13711 7727
84,20148 20496 24410 4620 9851 10191 20818 141 13219 7639
85,23774 11533 3580 5952 25596 2478 3737 8860 4366 13503
86,6446 8955 11951 15161 16779 19498 20500 7564 4588 12601
87,23468 2001 6446 2888 18798 7049 14356 23651 16577 3812
88,9851 9438 10269 8811 22554 18293 19401 23711 7202 16321
89,11785 8070 21236 3701 23244 14826 6709 11830 10590 7686
90,4620 2665 19480 23850 19089 5717 14978 13764 921 18190
91,11848 16767 8529 9882 12544 14912 19661 20232 18528 25044
92,2665 16630 19480 12409 20146 19709 7494 17723 20095 14291
93,10269 17923 9438 19152 11945 4147 25675 13294 11133 6835
94,3599 13030 14373 13541 10788 21854 23127 19180 20750 3983
95,14413 9526 8593 24546 2216 21264 2281 5447 11339 20308
96,8529 11848 681 19626 5218 3812 19468 23331 2995 20281
97,12554 4502 24355 19874 18419 20308 21428 19429 25809 13850
98,19874 24355 4502 17668 15234 20308 7883 5581 4257 20553
99,11623 19007 7839 24546 1745 25209 9135 14684 18512 17130
100,3877 512 24481 22334 11112 1258 24355 22573 6329 16241
101,21297 8097 11649 2426 12466 19468 16772 22554 7564 19189
102,13057 22484 19596 17724 6136 23814 3191 17959 22719 19193
103,19781 867 19704 8544 9243 11796 5746 3348 5717 11518
104,19874 14684 22653 10581 24355 20308 20553 7883 23534 18419
105,22750 9375 942 13720 17858 22554 18293 15790 23424 19620
106,275 22356 3668 23299 23711 6267 8811 13764 9851 11987
107,1863 7266 8560 22645 4940 18122 1947 8786 11549 21552
108,22121 14378 18544 24747 14356 18317 25101 10537 3539 22629
109,10162 484 13226 7363 7049 2679 20688 2888 4664 970
110,15196 5150 17546 17218 9511 12142 14554 15234 20841 17517
111,24546 7839 2005 1205 19007 11931 24438 5589 15869 18403
112,10269 14330 17418 16790 12903 23352 5292 2526 13131 20587
113,23723 16987 15563 5574 10328 9241 13424 24655 12158 3550
114,4194 14100 3442 3292 16224 25880 18953 11569 9125 5774
115,24075 22554 13615 13831 9438 19792 10688 12923 25779 7944
116,5044 7313 11820 15903 14356 15196 964 4909 24577 16521
117,25863 1250 17803 2017 25331 8773 15821 2259 13187 9517
118,23086 11527 12162 10311 19823 25834 25484 19150 12759 12321
119,4502 19874 14104 14684 20308 18419 15124 10418 341 9520
120,10996 1258 24481 1185 15207 24355 2040 24014 21769 18987
121,25675 18995 12851 25858 25693 2536 4811 18576 22554 24075
122,16203 22024 25317 15739 23802 14626 16257 22969 5950 4465
123,21061 4147 19769 13887 8337 1869 13294 681 3630 15572
124,22646 2333 13541 5717 1863 2868 18190 23536 2090 4620
125,6502 4257 828 7753 17668 25484 25 23221 21948 9516
126,21011 8587 19434 21433 24251 8519 7702 24297 3024 7552
127,18211 10085 16570 8926 132 22881 10859 7926 25552 23531
128,9851 10269 1863 10786 25675 9438 8811 8560 15034 7266
129,14045 18708 861 18574 9315 25693 25741 21841 13440 5210
130,24546 3527 25766 8805 25526 12230 7839 175 9463 22622
131,5713 22548 25138 3037 24585 5254 4423 14385 14772 9436
132,12597 11701 341 8712 7109 6291 16187 1816 23404 21567
133,22862 21631 11159 23155 6770 22965 11536 22864 1969 12435
134,21042 3497 23651 22226 18419 16577 12227 3921 5930 21654
135,16447 25440 4302 24746 9614 23333 72 23846 6579 1738
136,18288 11550 13433 24909 19480 3911 24546 8660 9529 13319
137,16726 3579 20963 15733 13373 23405 7053 4184 7016 12953
138,15592 14343 21095 4796 25028 11432 5593 18100 19049 5644
139,7012 9347 4463 10391 21064 22102 2491 8472 17800 13668
140,13433 12455 7908 3716 21153 22445 17093 24573 9940 4382
141,5078 17637 14684 21857 20308 13552 11083 9520 14386 6652
142,19480 20146 9851 16630 23600 4502 20095 10269 24355 13118
143,11584 2939 1975 177 7668 20602 4023 1478 2663 11814
144,19089 12409 7494 24128 16630 19631 17723 20095 2665 19709
145,9591 22845 25682 18119 4100 18122 364 19564 9345 10694
146,24075 5942 25675 22554 12061 13118 15564 10786 8538 1888
147,3497 588 14141 5930 5469 19769 1064 3744 20422 21061
148,25407 23154 2426 10594 1583 9322 5607 7333 9555 10834
149,21653 19480 21552 12056 12061 10786 773 20148 9243 21583
150,17723 6198 19089 23600 20095 20146 24128 19709 7494 16630
151,19480 10979 6546 525 8158 18037 3169 19089 23481 10494
152,12214 1830 3261 2061 21619 18263 7635 8828 7175 13902
153,2840 9195 15182 18412 11192 20210 13609 16263 8281 12972
154,17320 9859 9194 24098 19961 9140 25463 24660 1225 18839
155,4620 13014 15720 24075 25196 24694 2333 5717 24955 12365
156,25407 15691 10594 23154 3230 9555 1583 2426 18452 10834
157,11701 24687 11499 9475 7109 18317 17304 14820 21260 4282
158,15196 5150 17546 17517 3261 9511 7144 15234 18367 19973
159,7030 20919 16301 22151 23844 16871 22885 14723 13954 12709
160,12601 22731 6047 21355 4871 3913 11354 19934 1022 2375
161,17488 414 3827 20946 25163 16978 24453 333 8267 18735
162,22128 18293 3473 22750 21552 12875 20363 21342 15915 25046
163,5907 11832 14684 15982 14641 22840 25197 20366 6952 4940
164,17819 14706 8322 20146 4549 1577 4878 11535 25407 9301
165,5717 11072 21552 7639 12061 4620 24410 8704 141 13219
166,12273 21763 14978 17179 20167 525 11159 20858 5256 18175
167,6878 22848 2426 10834 17209 13711 10908 4980 13136 18392
168,7970 11990 3202 17894 7879 5157 12250 3030 376 16480
169,25407 7494 15691 19089 2426 8097 5044 23154 20095 19709
170,17951 4366 5952 20863 22801 11099 13663 24750 11533 22688
171,4512 25675 23424 12923 22359 24075 10789 22554 9438 14418
172,19781 9243 867 19114 21975 11796 11792 24908 11731 7930
173,17209 18452 13711 13136 9733 5669 10981 9322 2426 12050
174,13294 6973 14838 3264 10625 6368 7284 20999 25407 6073
175,5756 2507 8430 7632 20626 11295 12305 25517 25957 23530
176,6004 23127 5717 21854 12061 18545 5396 24575 10885 2300
177,6734 25407 10594 21920 10834 1583 10792 9555 22848 2492
178,22657 8251 2759 15490 7639 6599 23909 1863 13555 11436
179,8304 24484 7494 12988 12119 20894 15764 16954 16197 16218
180,14876 3556 5467 2579 4349 23832 13885 21498 20074 20371
181,13797 19480 8251 19089 7601 19709 9591 9664 14895 525
182,15903 17517 5150 19973 3261 18367 9092 16775 22075 25083
183,23600 19709 7494 12409 17723 23481 20146 20095 6198 3165
184,7823 15749 9683 16394 10073 10491 6691 17233 20651 11068
185,21255 15809 5673 5250 7607 6363 3185 25102 653 1385
186,21373 16394 7583 12759 21199 2650 19150 19948 2570 12509
187,10747 19518 2825 23879 7243 9241 1254 13763 21139 25170
188,11748 10747 24577 9017 9992 9819 8649 1095 17877 3901
189,16772 25407 8097 12466 15691 5044 17229 2118 2426 16770
190,6734 23154 25407 5 25171 5108 10594 15770 16496 1056
191,6897 8691 13690 1663 6542 19286 6242 11228 1026 263
192,24093 15764 8304 17820 5412 4803 24109 57 3997 18122
193,3656 484 11848 18404 9155 24243 14185 17013 7115 25649
194,1538 11367 13348 24566 24753 18259 24075 6686 24178 1110
195,7030 10020 1092 8790 399 3133 5642 14723 16301 8033
196,19985 681 4147 24383 6076 3497 8131 3432 10917 7012
197,16266 8318 15903 22075 5150 9092 5027 17586 5272 10397
198,6088 22646 2868 23536 3983 15459 18190 9591 2333 9050
199,8249 15234 7450 20936 6446 11121 14684 22121 15013 9090
200,7494 13415 5491 1432 6865 19089 13188 7590 11802 388
201,19089 20146 17760 19480 16630 1634 12119 24355 23600 6329
202,868 4341 24586 10175 17407 25575 9614 24164 5626 14172
203,13686 8987 4289 24444 4444 14253 1211 14406 19161 1097
204,12061 9591 9851 8560 24075 1863 11384 25675 17225 14255
205,23536 18190 2333 21854 9029 15459 5717 6088 22646 3983
206,2333 921 11987 17065 19120 4620 23358 3668 13654 19962
207,6239 23628 8158 15006 14609 25740 6760 7174 4766 5298
208,6865 13415 5491 4195 11540 24962 471 20083 19908 388
209,19874 4502 24355 17668 18419 4257 15234 10418 20553 12413
210,17908 25034 7016 9636 20915 24333 2798 12953 9500 8392
211,7836 6380 23505 25779 13051 12236 9609 21260 14100 10688
212,19089 4728 2448 7720 18374 16630 12409 17723 9637 153
213,25890 24515 16862 1050 4987 18463 11876 8395 6250 21085
